"","m.z","p.value","t.score","r.t"
"1",177.03954,0.000198785,-2.07,29.506
"2",179.05501,0.000679901,-1.31,10.428
"3",179.05503,0.000849847,-2.75,4.193
"4",353.0358,0.00091954,-2.82,10.069
"5",211.08151,0.00093624,-1.51,10.416
"6",328.15066,0.00096677,-3.59,8.082
"7",243.06133,0.001130962,-3.06,10.074
"8",167.01967,0.001612294,-0.77,15.297
"9",169.08576,0.0023351,-2.57,8.086
"10",196.02496,0.003079002,-1.84,9.907
"11",173.00787,0.003114975,-2.96,10.083
"12",132.01161,0.004238627,-1.72,9.899
"13",132.01162,0.004626173,-1.41,7.711
"14",305.04805,0.004972276,-2.72,0.23
"15",241.08208,0.005079333,-3.05,10.084
"16",177.02151,0.005672051,-2.92,7.968
"17",695.33221,0.00579194,-3.32,10.067
"18",407.11725,0.007091575,-1.95,10.075
"19",124.00603,0.007351621,-2.19,10.067
"20",96.95948,0.007400604,-3.91,10.076
"21",101.02319,0.008807844,-1.6,10.429
"22",117.018,0.011282649,-1.67,9.911
"23",257.05382,0.012750161,-1.75,10.08
"24",199.96912,0.013542341,-4.71,10.404
"25",150.02219,0.015333285,-4.23,7.056
"26",150.02221,0.016769179,-1.56,10.083
"27",137.02318,0.018561781,1.19,1.788
"28",181.99063,0.02177701,-1.75,7.987
"29",261.00667,0.025654375,-2.24,7.093
"30",197.02417,0.02840653,-1.19,10.085
"31",219.02915,0.028675099,0.6,15.021
"32",219.0293,0.030190482,-2.17,10.077
"33",243.06131,0.031065044,-2.38,10.119
"34",433.11275,0.032567102,-1.9,10.416
"35",442.11711,0.033369728,0.81,12.25
"36",225.0871,0.033966608,-0.45,1.602
"37",210.02746,0.037326896,-1.98,10.113
"38",157.00554,0.037941019,-2.71,7.975
"39",192.06543,0.040508601,0.92,7.903
"40",236.97648,0.041561891,1.07,10.643
"41",135.0651,0.044312467,0.91,10.696
"42",218.10237,0.047263811,-1.67,8.067
"43",131.00916,0.054379765,-2.06,10.043
"44",131.00916,0.055210611,-1.11,7.099
"45",155.00985,0.056975533,-1.84,10.077
"46",155.00985,0.059843275,-0.89,8.005
"47",146.04461,0.062600508,0.94,1.628
"48",213.14861,0.06451459,-2.25,10.071
"49",315.07286,0.065391845,-1.22,10.085
"50",253.1436,0.066847693,-0.55,10.097
"51",284.03405,0.068299964,0.91,11.331
"52",302.13503,0.0687858,-7.24,8.009
"53",324.97814,0.070026396,0.44,12.288
"54",324.09284,0.071895508,-1.9,7.051
"55",308.098,0.071953475,-1.14,10.074
"56",220.08192,0.072542309,-0.77,0.241
"57",300.04821,0.072926478,0.42,12.261
"58",300.04821,0.074564765,-1.97,7.112
"59",156.06539,0.0747982,-2.18,1.625
"60",174.03952,0.07592392,-1.38,10.089
"61",130.04969,0.076758052,-6.34,8.047
"62",187.07123,0.080489849,-1,10.412
"63",288.03368,0.081529614,-1.29,8.03
"64",214.90735,0.087180616,2.91,1.848
"65",214.90744,0.087955223,0.51,7.923
"66",239.02196,0.088489435,-1.38,8.047
"67",131.03375,0.0955665,0.71,7.879
"68",193.07079,0.098015885,-6.86,8.06
"69",94.98046,0.098567792,-1.2,8.029
"70",121.04942,0.099763356,-1.07,10.121
"71",297.04625,0.10366579,0.75,15.24
"72",199.01671,0.104424051,-1.17,10.374
"73",199.01678,0.107692285,-3.45,6.835
"74",343.12378,0.110934888,-1.27,8.081
"75",135.02856,0.112505831,-1.1,7.093
"76",135.02859,0.113176168,-0.99,8.114
"77",269.05071,0.114831977,-3.33,7.954
"78",269.05076,0.115445058,-0.85,8.166
"79",146.04462,0.116012424,-0.97,1.711
"80",132.02895,0.120042309,-1.05,7.03
"81",132.02895,0.122962804,-2.46,8
"82",89.02398,0.123611274,-2.3,8.083
"83",133.01283,0.130155646,0.67,1.618
"84",133.01502,0.133950464,1.69,10.319
"85",151.05999,0.137311213,0.75,7.983
"86",370.13958,0.143221637,-0.72,8.022
"87",165.01816,0.147310668,-0.91,8.129
"88",312.17121,0.148945569,-2.5,8.126
"89",347.03907,0.150822446,-1.85,7.098
"90",178.04977,0.1572713,-1,29.62
"91",129.09083,0.157940478,3.41,29.786
"92",168.98975,0.159097952,0.34,11.327
"93",168.98976,0.160062826,0.46,7.925
"94",171.00521,0.161819821,1.07,10.657
"95",113.02313,0.164027148,1.46,7.512
"96",129.01805,0.165808146,-1.77,7.091
"97",259.02151,0.167590773,1.9,0.087
"98",259.02154,0.173040199,-1.72,8.178
"99",217.08195,0.176378968,-8.15,8.058
"100",195.04987,0.176946614,-0.59,14.82
