"m.z"	"p.value"	"t.score"	"r.t"
177.03954	0.000198785	-2.07	29.506
179.05501	0.000679901	-1.31	10.428
179.05503	0.000849847	-2.75	4.193
353.0358	0.00091954	-2.82	10.069
211.08151	0.00093624	-1.51	10.416
328.15066	0.00096677	-3.59	8.082
243.06133	0.001130962	-3.06	10.074
167.01967	0.001612294	-0.77	15.297
169.08576	0.0023351	-2.57	8.086
196.02496	0.003079002	-1.84	9.907
173.00787	0.003114975	-2.96	10.083
132.01161	0.004238627	-1.72	9.899
132.01162	0.004626173	-1.41	7.711
305.04805	0.004972276	-2.72	0.23
241.08208	0.005079333	-3.05	10.084
177.02151	0.005672051	-2.92	7.968
695.33221	0.00579194	-3.32	10.067
407.11725	0.007091575	-1.95	10.075
124.00603	0.007351621	-2.19	10.067
96.95948	0.007400604	-3.91	10.076
101.02319	0.008807844	-1.6	10.429
117.018	0.011282649	-1.67	9.911
257.05382	0.012750161	-1.75	10.08
199.96912	0.013542341	-4.71	10.404
150.02219	0.015333285	-4.23	7.056
150.02221	0.016769179	-1.56	10.083
137.02318	0.018561781	1.19	1.788
181.99063	0.02177701	-1.75	7.987
261.00667	0.025654375	-2.24	7.093
197.02417	0.02840653	-1.19	10.085
219.02915	0.028675099	0.6	15.021
219.0293	0.030190482	-2.17	10.077
243.06131	0.031065044	-2.38	10.119
433.11275	0.032567102	-1.9	10.416
442.11711	0.033369728	0.81	12.25
225.0871	0.033966608	-0.45	1.602
210.02746	0.037326896	-1.98	10.113
157.00554	0.037941019	-2.71	7.975
192.06543	0.040508601	0.92	7.903
236.97648	0.041561891	1.07	10.643
135.0651	0.044312467	0.91	10.696
218.10237	0.047263811	-1.67	8.067
131.00916	0.054379765	-2.06	10.043
131.00916	0.055210611	-1.11	7.099
155.00985	0.056975533	-1.84	10.077
155.00985	0.059843275	-0.89	8.005
146.04461	0.062600508	0.94	1.628
213.14861	0.06451459	-2.25	10.071
315.07286	0.065391845	-1.22	10.085
253.1436	0.066847693	-0.55	10.097
284.03405	0.068299964	0.91	11.331
302.13503	0.0687858	-7.24	8.009
324.97814	0.070026396	0.44	12.288
324.09284	0.071895508	-1.9	7.051
308.098	0.071953475	-1.14	10.074
220.08192	0.072542309	-0.77	0.241
300.04821	0.072926478	0.42	12.261
300.04821	0.074564765	-1.97	7.112
156.06539	0.0747982	-2.18	1.625
174.03952	0.07592392	-1.38	10.089
130.04969	0.076758052	-6.34	8.047
187.07123	0.080489849	-1	10.412
288.03368	0.081529614	-1.29	8.03
214.90735	0.087180616	2.91	1.848
214.90744	0.087955223	0.51	7.923
239.02196	0.088489435	-1.38	8.047
131.03375	0.0955665	0.71	7.879
193.07079	0.098015885	-6.86	8.06
94.98046	0.098567792	-1.2	8.029
121.04942	0.099763356	-1.07	10.121
297.04625	0.10366579	0.75	15.24
199.01671	0.104424051	-1.17	10.374
199.01678	0.107692285	-3.45	6.835
343.12378	0.110934888	-1.27	8.081
135.02856	0.112505831	-1.1	7.093
135.02859	0.113176168	-0.99	8.114
269.05071	0.114831977	-3.33	7.954
269.05076	0.115445058	-0.85	8.166
146.04462	0.116012424	-0.97	1.711
132.02895	0.120042309	-1.05	7.03
132.02895	0.122962804	-2.46	8
89.02398	0.123611274	-2.3	8.083
133.01283	0.130155646	0.67	1.618
133.01502	0.133950464	1.69	10.319
151.05999	0.137311213	0.75	7.983
370.13958	0.143221637	-0.72	8.022
165.01816	0.147310668	-0.91	8.129
312.17121	0.148945569	-2.5	8.126
347.03907	0.150822446	-1.85	7.098
178.04977	0.1572713	-1	29.62
129.09083	0.157940478	3.41	29.786
168.98975	0.159097952	0.34	11.327
168.98976	0.160062826	0.46	7.925
171.00521	0.161819821	1.07	10.657
113.02313	0.164027148	1.46	7.512
129.01805	0.165808146	-1.77	7.091
259.02151	0.167590773	1.9	0.087
259.02154	0.173040199	-1.72	8.178
217.08195	0.176378968	-8.15	8.058
195.04987	0.176946614	-0.59	14.82
263.03374	0.177750873	-1.94	7.118
275.06419	0.186267757	-2.91	8.087
275.06431	0.190107658	1.03	1.544
247.03117	0.190424521	0.68	7.906
387.11102	0.203430621	-0.73	8.065
285.04488	0.205303812	0.58	1.598
245.04247	0.205511448	-1.9	10.066
245.0425	0.206930402	0.63	1.695
147.0301	0.207276109	0.58	16.414
149.04445	0.210063863	-3.06	6.818
181.07054	0.219907073	0.94	22.006
386.99986	0.220130544	-0.78	8.083
289.03229	0.220428267	0.74	10.683
229.01112	0.22060422	1.38	5.108
338.98784	0.221612566	-1.88	7.051
259.0215	0.228146872	-2.84	6.963
259.02157	0.235134876	0.82	16.402
89.02357	0.235135032	0.67	11.851
181.04946	0.238525941	-0.93	7.071
174.07599	0.24048261	0.69	7.596
379.08214	0.242294253	-0.86	7.082
390.13023	0.253845752	-1.17	7.155
89.02411	0.256204204	1.54	30.073
161.1171	0.257410517	3.89	11.326
147.06501	0.26031183	0.52	1.653
183.02636	0.260606998	-1.43	7.032
201.14843	0.264542256	-1.96	7.086
258.03736	0.275516648	0.74	1.614
209.02922	0.277218002	0.95	11.437
613.13985	0.282579188	-0.9	7.187
322.04379	0.287728715	0.35	10.675
178.01677	0.291976675	1.28	10.331
525.06962	0.299892983	-0.95	7.098
309.16994	0.301524102	-1.54	10.306
249.02112	0.301584948	1	7.998
399.04553	0.304375714	-1.8	8.006
229.06914	0.30496634	-1.29	7.107
217.01497	0.30770744	0.73	10.66
254.98074	0.308748153	-0.37	7.163
346.05494	0.309773802	1.21	1.609
665.21373	0.318445324	-0.84	7.187
199.06127	0.318714904	0.5	1.516
426.02144	0.319153722	1.32	8.31
134.04596	0.321056549	0.64	12.29
300.03869	0.321288961	-0.62	14.861
368.03698	0.321515564	-2.35	7.927
215.06628	0.325507649	1.17	11.311
186.11239	0.325693235	-0.49	14.842
221.06589	0.328423733	1.25	3.878
241.01099	0.329149033	-1.81	6.01
290.96695	0.329382407	-5.49	8.057
204.06551	0.329385715	0.45	1.64
130.04968	0.331525666	1.05	7.922
143.03374	0.331653926	0.71	9.725
165.09082	0.339026741	-2.41	7.116
128.03401	0.339701382	-0.37	8.059
262.0925	0.340281383	-0.13	6.968
121.02819	0.340993471	-0.71	7.83
159.00938	0.341897968	0.43	1.591
247.05829	0.348586812	-0.1	7.017
628.01541	0.351106692	0.53	1.605
265.0294	0.354981271	-0.6	8.25
278.99754	0.355562454	-0.67	8.059
231.09769	0.358645861	-1.13	7.103
144.06535	0.359257774	0.54	3.919
526.08727	0.3593408	0.55	10.645
184.99031	0.366386679	0.49	7.58
253.09217	0.37075624	0.21	1.505
161.04435	0.377178527	1.38	13.769
161.04436	0.37746676	-2.03	7.026
117.05442	0.380437192	0.14	7.568
267.07137	0.38650086	0.57	10.64
346.05497	0.388002344	-2.04	8.083
236.98703	0.389913046	0.42	10.704
159.06504	0.391363392	0.96	1.633
203.05494	0.394289283	0.67	6.127
145.04937	0.396034049	-1.49	8.172
117.05442	0.396068216	-0.66	7.919
227.0664	0.397180916	0.57	10.643
220.02583	0.399698876	0.3	7.923
215.03175	0.401308615	0.43	7.329
215.03178	0.403078126	0.31	11.318
135.00457	0.403345913	-2.61	7.027
135.00458	0.404410552	0.6	9.708
160.06029	0.405555094	0.82	1.588
214.04753	0.405629746	0.41	7.484
176.95139	0.408563299	-0.34	8.059
145.12213	0.410487345	-1.68	4.759
188.9504	0.411102184	0.78	7.941
302.89364	0.411881397	-0.99	7.098
152.99997	0.412898004	0.45	3.696
133.04937	0.416345076	0.31	11.334
205.10702	0.418959278	-0.7	10.285
158.08101	0.42032399	0.55	7.917
273.03736	0.420794471	-0.18	7.189
333.05846	0.421379716	-3.17	6.585
333.05855	0.427290207	0.68	3.13
163.06006	0.428753876	-1.07	7.147
119.03435	0.429551329	0.35	11.32
333.0584	0.433106299	0.87	3.756
333.05852	0.439962664	0.47	1.78
333.05853	0.440390654	0.81	10.63
395.07625	0.442704023	0.63	10.648
177.07566	0.444734434	0.9	1.615
128.0171	0.450483914	-0.71	7.176
128.01711	0.451510828	0.43	4.232
128.01711	0.451727311	0.37	7.985
275.07411	0.452490229	0.51	3.747
320.06152	0.453955994	-0.62	4.768
693.33529	0.454698964	0.42	14.978
209.06579	0.454742802	-2.71	6.958
304.9908	0.455877065	1.3	10.325
290.08746	0.457207864	0.72	10.336
363.15727	0.461020261	0.41	15.29
188.09171	0.462463241	0.63	11.32
591.36856	0.463741014	0.98	1.58
96.96813	0.464825452	-2.68	8.128
96.95892	0.46551205	1.14	4.725
96.96868	0.467370413	0.72	7.598
176.93458	0.467938829	0.29	15.241
94.97935	0.46860819	0.59	7.913
212.50675	0.469107591	-1.72	6.843
114.01838	0.469846519	0.53	14.97
292.92257	0.473498358	0.7	11.127
157.03545	0.474561765	0.25	1.514
292.92256	0.47464987	1.19	4.674
216.90835	0.474708297	-0.79	7.403
176.94816	0.47770648	0.72	7.92
232.92373	0.479596919	0.78	1.688
97.02828	0.480692035	-0.8	4.777
89.02303	0.48242088	0.39	14.975
110.98402	0.483602712	0.48	12.282
152.01788	0.485370206	0.57	9.704
153.01435	0.488024905	-0.87	8.139
129.01347	0.488135317	-1.12	4.83
127.01786	0.488269676	0.53	3.924
131.03375	0.493822975	0.56	4.477
109.0073	0.49828697	0.5	1.595
140.91617	0.499503063	0.6	3.279
152.01787	0.499607506	0.53	7.211
153.01433	0.500483154	-1.05	7.127
151.01871	0.501980049	-0.97	7.131
149.02293	0.505500753	0.74	1.624
105.01586	0.505607393	0.41	7.785
131.01234	0.507199408	1.02	7.93
130.01599	0.510491259	-0.8	8.143
109.00729	0.511665138	-0.14	14.848
96.96954	0.513718474	0.29	11.309
129.01347	0.514621389	0.71	11.037
129.01346	0.51528963	0.85	9.69
148.02653	0.519400428	-0.74	7.278
119.03374	0.522215438	0.62	1.674
193.97792	0.52319638	1.2	1.631
193.03005	0.523549272	-0.21	1.506
194.02925	0.524648752	-0.4	8.129
154.01346	0.52547023	0.56	11.316
236.91521	0.528202472	0.72	6.087
173.02062	0.528660395	-0.7	10.545
140.9746	0.530683931	0.44	10.659
142.97163	0.534763095	-1.47	7.104
222.02151	0.535075519	0.43	1.591
165.03925	0.539296306	0.7	3.243
91.03886	0.541493305	0.71	3.752
98.95448	0.542381462	0.62	3.734
172.02426	0.542411988	0.66	1.623
126.02148	0.543066265	-1.21	7.125
221.02229	0.543152266	-0.81	7.361
195.02571	0.543178002	0.45	11.334
173.00338	0.543210538	1.08	11.437
154.01347	0.544623904	0.32	1.68
197.02144	0.545351469	-1.43	4.778
241.0285	0.546018512	0.63	3.755
217.03376	0.546270438	0.56	1.665
104.01959	0.546592367	0.53	1.669
154.99277	0.547618372	-0.63	8.152
96.96007	0.548840191	-0.49	10.95
127.01785	0.548968763	0.63	7.6
126.00182	0.551111775	0.98	3.513
173.95632	0.552827695	0.59	11.311
189.03928	0.555305584	-0.69	11.789
234.91946	0.555436861	-0.42	10.761
192.03357	0.558206184	0.77	3.629
154.99282	0.558753561	0.6	12.426
219.02661	0.558953952	0.84	1.603
111.00287	0.561443362	0.4	7.93
175.01948	0.562080727	0.5	3.871
133.00804	0.563349609	0.71	3.702
96.96843	0.563936355	-0.29	8.058
119.03374	0.564639651	0.81	5.545
216.92745	0.565018057	0.73	7.9
97.00301	0.565246839	-0.85	7.244
193.97794	0.570086778	0.23	11.321
171.00519	0.571156468	0.05	4.359
204.99287	0.571474829	0.72	1.767
216.92744	0.571650221	0.85	1.573
164.01053	0.573412702	0.44	15.281
140.91804	0.573550389	0.76	9.702
87.9714	0.574399774	0.99	4.685
163.02366	0.575853642	0.7	7.421
197.0214	0.576181964	-1.54	7.158
96.96846	0.57683427	0.41	1.645
111.01868	0.576864777	-0.27	14.818
165.07576	0.576893649	-1.2	10.398
100.96835	0.579195184	0.93	6.164
240.03209	0.580064556	-0.25	14.829
175.01621	0.580364963	-0.47	15.271
110.00653	0.581618005	1	4.943
154.99498	0.581955395	-0.7	7.088
129.05442	0.58306162	0.54	7.957
330.87855	0.584092121	-0.37	7.12
153.99643	0.584390454	-0.66	7.155
203.99654	0.586414966	0.78	4.698
149.02568	0.587963712	-1.25	8.038
198.02066	0.588801715	0.33	5.197
133.99046	0.589934541	0.69	1.675
223.01794	0.591104065	-0.86	7.495
89.96843	0.593208247	-0.11	14.843
124.99011	0.593882658	-0.85	7.146
125.02317	0.595036188	-0.44	7.317
199.01843	0.597362366	0.69	5.57
301.98178	0.598895208	-0.35	16.436
193.03281	0.604069997	0.71	1.65
171.00527	0.605688593	-0.86	8.068
175.01619	0.60650237	0.66	9.695
174.02298	0.608278925	-1.86	8.241
107.01166	0.60860679	0.8	11.47
186.96376	0.609891537	0.68	1.677
134.97186	0.610022387	0.81	7.918
135.94382	0.610444979	0.18	11.328
118.95033	0.611418437	0.59	1.58
195.92563	0.612491071	-0.21	14.799
148.02654	0.612790323	0.53	24.58
154.91747	0.614017012	-0.32	15.25
175.01612	0.614824485	0.51	1.714
132.0402	0.615995827	0.78	3.495
186.98476	0.617707509	-0.11	12.51
96.98336	0.618530633	0.57	1.586
119.07019	0.61922243	0.69	9.292
114.02963	0.622091924	0.67	6.265
91.02729	0.622938454	0.43	12.245
149.04432	0.623556997	0.27	1.696
136.96088	0.623922585	0.49	3.681
330.87856	0.624764264	0.28	1.745
166.97845	0.625346498	-1.73	4.782
173.02067	0.628442031	0.65	1.651
198.9168	0.628493309	0.87	13.35
208.9458	0.62893907	-0.26	7.949
512.82244	0.631483353	0.5	5.181
146.96468	0.632967832	-1.05	10.857
125.00939	0.633359193	-1.2	7.157
149.04175	0.633417307	-1.24	7.178
105.01805	0.633916016	0.49	1.67
123.94803	0.635695193	-1.04	7.108
153.99646	0.636666695	1.19	7.895
194.93666	0.637871137	0.77	7.882
134.00729	0.638211478	0.75	11.587
510.85871	0.639758468	0.08	1.626
116.96129	0.639937392	0.62	3.277
154.94612	0.640967741	0.53	17.286
203.99653	0.641713	-1.09	7.189
154.91749	0.641877477	1.39	4.693
210.98554	0.642163172	0.76	3.578
240.84176	0.642279752	0.8	17.128
316.11594	0.644427939	0.5	1.587
368.12393	0.645439856	-0.25	1.65
208.96101	0.64680299	0.81	16.726
194.9366	0.646977555	0.94	10.469
162.89832	0.64742984	0.58	3.366
134.98937	0.647986474	0.68	6.084
