"m.z"	"p.value"	"t.score"	"r.t"
247.05829	0.007739962	2.57	19.03
628.01541	0.007818263	2.01	13.978
265.0294	0.007874166	-1.56	14.822
278.99754	0.008014356	2.49	19.028
231.09769	0.008190815	-1.78	14.861
144.06535	0.008358862	1.86	10.069
526.08727	0.008587608	-0.72	14.82
184.99031	0.009328101	1.79	10.067
253.09217	0.009684419	-1.64	14.848
161.04435	0.010004416	2.45	19.086
161.04436	0.01008856	1.8	19.028
117.05442	0.010350725	-1.34	14.834
267.07137	0.010433759	-1.9	14.82
346.05497	0.010686932	-0.92	30.057
236.98703	0.011010471	2.7	19.03
159.06504	0.011036853	3.01	10.384
203.05494	0.011038106	2.35	10.401
145.04937	0.011167181	-0.53	15.23
117.05442	0.011289209	1.68	19.016
227.0664	0.011297261	2.3	19.05
220.02583	0.011791569	2.66	10.306
215.03175	0.011831438	2	19.032
215.03178	0.011847072	-0.71	15.234
135.00457	0.012193849	-1.47	14.813
135.00458	0.012636948	-2.4	7.495
160.06029	0.012661884	1.97	19.046
214.04753	0.013010304	2.6	19.036
176.95139	0.013706833	1.69	1.626
145.12213	0.013995354	1.95	1.65
188.9504	0.014222868	2.25	3.788
302.89364	0.014358755	3.21	1.631
152.99997	0.014469259	1.68	1.636
133.04937	0.014682362	2.84	11.309
205.10702	0.014750243	-1.57	14.827
158.08101	0.014840216	2	10.084
273.03736	0.014992336	2.87	2.77
333.05846	0.015186007	-0.92	30.086
333.05855	0.015249869	-2.16	7.276
163.06006	0.015536064	2	1.641
119.03435	0.015911011	1.39	4.225
333.0584	0.016240843	-1.66	14.818
333.05852	0.01628907	-2.88	4.898
333.05853	0.016374035	2.08	1.665
395.07625	0.016934714	1.56	3.747
177.07566	0.017442504	2.29	2.843
128.0171	0.017822903	-1.4	7.609
128.01711	0.018059157	-1.28	12.29
128.01711	0.018073323	-1.62	14.829
275.07411	0.018642913	-2.26	14.919
320.06152	0.019012306	1.11	1.617
693.33529	0.019674833	2.08	10.409
209.06579	0.02009505	-0.92	30.108
304.9908	0.020243176	1.97	10.419
290.08746	0.021405154	1.67	1.786
363.15727	0.021716497	-1.14	12.282
188.09171	0.022053216	2.41	1.62
591.36856	0.02220379	-1.27	7.421
96.96813	0.022331231	-1.12	12.279
96.95892	0.022537169	1.94	1.927
96.96868	0.02254344	1.56	1.571
176.93458	0.022866068	2.7	19.032
94.97935	0.023253595	1.92	3.473
212.50675	0.023361864	-1.56	14.83
114.01838	0.02371062	-0.43	15.227
292.92257	0.023826968	3.73	1.612
157.03545	0.023904779	1.58	16.156
292.92256	0.024044676	3.6	10.404
216.90835	0.024692146	1.67	1.781
176.94816	0.025705692	-0.57	12.261
232.92373	0.025708607	2.95	10.545
97.02828	0.025717115	-0.54	12.288
89.02303	0.026459027	-0.87	7.663
110.98402	0.026800405	-0.92	30.048
152.01788	0.026809615	-1.34	14.829
153.01435	0.026898371	-1.97	7.629
129.01347	0.027044607	-1.03	15.248
127.01786	0.027699806	-0.58	15.17
131.03375	0.027748196	2.02	1.617
109.0073	0.028295649	1.38	1.655
140.91617	0.02831239	2.05	1.616
152.01787	0.02832882	2.57	8.226
153.01433	0.028770018	-1.16	14.821
151.01871	0.029467808	1.54	10.075
149.02293	0.030590554	2.31	19.093
105.01586	0.030832178	1.36	1.664
131.01234	0.031076735	1.49	17.921
130.01599	0.031086409	3.06	1.629
109.00729	0.031557729	1.19	1.551
96.96954	0.03159186	1.49	13.395
129.01347	0.031670792	-0.72	1.745
129.01346	0.032274517	-0.82	14.769
148.02653	0.032556899	-1.33	7.821
119.03374	0.032608764	1.5	4.117
193.97792	0.033637441	1.05	1.631
193.03005	0.033723937	-2.43	4.789
194.02925	0.034056987	2.27	6.52
154.01346	0.034463329	1.89	10.365
236.91521	0.034576237	-1.25	14.799
173.02062	0.034737464	0.63	3.924
140.9746	0.035090441	2.39	1.554
142.97163	0.03566847	-0.91	15.281
222.02151	0.035699998	-6.16	7.953
165.03925	0.035995291	1.47	11.437
91.03886	0.036245532	-1.53	14.843
98.95448	0.03678858	-1.34	14.845
172.02426	0.036814337	-1.13	14.954
126.02148	0.037688322	-0.56	15.25
221.02229	0.038238387	-0.96	15.253
195.02571	0.038828775	1.42	10.08
173.00338	0.039608816	0.83	3.827
154.01347	0.040029273	1.15	1.574
197.02144	0.040405015	1.31	1.632
241.0285	0.040476581	2.29	3.961
217.03376	0.041099182	0.65	1.543
104.01959	0.041154789	-0.87	15.185
154.99277	0.04116352	-0.72	15.233
96.96007	0.041229095	-1.31	14.833
127.01785	0.041256436	1.81	16.415
126.00182	0.041714595	-1.4	30.073
173.95632	0.041998287	3.12	1.626
189.03928	0.042362411	-1.49	14.858
234.91946	0.042519597	0.64	1.561
192.03357	0.042560317	2.49	1.557
154.99282	0.042949847	-1.65	4.768
219.02661	0.043074836	2.85	1.579
111.00287	0.0434263	2.37	3.09
175.01948	0.043495017	1.92	11.32
133.00804	0.044654185	-0.93	15.24
96.96843	0.044982158	1.42	9.907
119.03374	0.045104331	2.49	6.519
216.92745	0.045173446	-1.59	12.313
97.00301	0.045406804	-2.38	8.083
193.97794	0.045736976	-1.59	14.846
171.00519	0.046026619	-0.66	1.71
204.99287	0.047224437	1.67	1.611
216.92744	0.048146651	2.16	6.517
164.01053	0.048756678	-2.29	4.766
140.91804	0.049335915	-0.88	14.835
87.9714	0.050435077	-1.01	14.848
163.02366	0.050591463	-1.22	7.58
197.0214	0.050722256	2.35	1.84
96.96846	0.051311494	-1.47	7.098
111.01868	0.053927828	-1.47	14.844
165.07576	0.054647137	2.59	6.507
100.96835	0.054981872	1.19	10.374
240.03209	0.055071921	-1.57	14.845
175.01621	0.056697314	-0.71	15.21
110.00653	0.057197594	1.26	1.635
154.99498	0.057399018	-1.51	8.059
129.05442	0.058309311	1.23	1.642
330.87855	0.058581966	1.98	10.607
153.99643	0.058638151	1.5	1.634
203.99654	0.059567679	1.37	10.089
149.02568	0.059656741	1.27	1.568
198.02066	0.060247436	1.65	10.074
133.99046	0.060361532	-0.94	7.163
223.01794	0.060666164	2.11	10.522
89.96843	0.060675695	-1.27	4.789
124.99011	0.061651438	2.09	15.755
125.02317	0.062271831	0.57	1.634
199.01843	0.062361011	-2.04	7.112
301.98178	0.062510538	-0.64	15.244
193.03281	0.062828552	1.04	1.62
171.00527	0.063135224	3	1.626
175.01619	0.063351687	-0.92	30.073
174.02298	0.063714531	-1.55	8.067
107.01166	0.063803695	1.98	6.509
186.96376	0.064398744	1.61	6.519
134.97186	0.065641123	2.7	3.873
135.94382	0.066158329	-1.55	7.662
118.95033	0.066273669	-0.79	15.283
195.92563	0.067106182	-0.92	30.049
148.02654	0.068831688	1.49	8.257
154.91747	0.069195743	1.63	16.156
175.01612	0.070013911	1.12	10.085
132.0402	0.07009706	1.11	1.598
186.98476	0.070326464	-2.47	4.793
96.98336	0.070429263	1.04	10.097
119.07019	0.070559466	0.97	11.181
114.02963	0.07074842	0.6	1.629
91.02729	0.07110281	-1.29	7.485
149.04432	0.071740143	-0.78	7.577
136.96088	0.072354363	1.99	10.541
330.87856	0.072383164	0.18	1.745
166.97845	0.072490927	-0.54	15.236
173.02067	0.075168813	-1.47	7.987
198.9168	0.075502852	-2.33	8.086
208.9458	0.075747796	-0.48	1.501
512.82244	0.075824826	1.21	19.05
146.96468	0.076132566	-2.44	6.963
125.00939	0.076202528	-0.87	15.223
149.04175	0.076946455	-1.22	4.769
105.01805	0.077404783	-1.51	7.702
123.94803	0.077496911	-2.55	4.802
153.99646	0.078161579	1.1	1.669
194.93666	0.078259739	0.87	1.615
134.00729	0.081922449	1.05	3.681
510.85871	0.082802909	1.05	9.899
116.96129	0.08347173	2.64	1.627
154.94612	0.083687013	2.07	9.432
203.99653	0.084951327	1.05	3.366
154.91749	0.086144401	-0.44	15.242
210.98554	0.086322699	-0.99	4.788
240.84176	0.086610113	1.26	10.085
316.11594	0.086633987	-0.85	12.45
368.12393	0.0876124	1.88	6.514
208.96101	0.087774616	1.42	1.767
194.9366	0.087978081	-0.68	15.213
162.89832	0.088064121	0.62	1.539
134.98937	0.088157073	-0.8	15.282
183.10151	0.088394064	2.15	6.05
144.02895	0.089214269	1.69	16.248
203.99654	0.089476199	2.65	1.625
450.83752	0.089842556	-0.76	15.284
127.01788	0.09077571	-1.24	7.652
124.0081	0.091149759	1.27	5.545
174.02184	0.091775637	-1.14	7.611
152.99458	0.092513529	-0.85	15.25
171.02869	0.092663013	1.44	1.653
95.01264	0.09272582	2.51	2.828
244.95883	0.093514872	-1.49	7.659
352.98801	0.095016458	-1.18	12.291
132.96601	0.095995129	-0.71	7.568
510.85866	0.097516381	0.79	12.422
176.91574	0.099354118	0.5	1.629
111.00289	0.099955655	1.06	10.083
225.0577	0.100564518	1.08	8.266
107.01166	0.101582975	1.08	3.685
169.49157	0.102010937	-1.4	7.484
131.01516	0.102302287	-1.57	7.669
318.88393	0.102531021	-0.89	15.247
232.90143	0.102733609	1.57	16.169
159.52675	0.103987031	1.93	11.59
168.94274	0.10448319	1.55	16.179
154.91747	0.104696866	-2.14	4.773
169.04802	0.10518945	-1.52	7.329
156.02898	0.105243927	4.35	7.367
140.98482	0.106432902	1.58	1.634
187.98401	0.10787802	1.01	1.67
132.93559	0.108579743	1.52	0.23
