"mz","rt","t.score","p.value","mode"
157.08519,75.42,1.4005,0.171,"positive"
158.08356,353.52,2.8595,0.0094,"positive"
158.96323,69.06,-2.6229,0.0133,"positive"
158.96472,76.86,-1.0895,0.2865,"positive"
158.96539,73.8,1.1527,0.2579,"positive"
159.06482,592.74,-1.0224,0.3239,"positive"
159.09302,378.42,4.1616,2e-04,"positive"
160.1059,330.12,-0.9028,0.3765,"positive"
163.0743,1118.52,1.6818,0.1027,"positive"
163.12157,1375.2,0.9894,0.3321,"positive"
163.1219,1378.62,0.1851,0.8549,"positive"
163.12277,1364.16,2.206,0.0351,"positive"
163.13145,580.92,0.0558,0.9558,"positive"
163.13194,583.14,1.1635,0.2537,"positive"
166.08646,339.42,-1.2667,0.2203,"positive"
166.08687,336.9,-0.8267,0.4187,"positive"
166.08794,346.44,-1.3325,0.1994,"positive"
169.05965,79.98,0.283,0.779,"positive"
169.09534,75.12,-2.815,0.0111,"positive"
171.09804,80.82,1.3646,0.1822,"positive"
171.09926,72.84,3.1863,0.0041,"positive"
171.1013,74.82,3.5976,0.0015,"positive"
171.1344,1361.4,1.0802,0.2921,"positive"
171.13655,1358.34,0.6889,0.4961,"positive"
171.13879,1366.92,1.2077,0.237,"positive"
171.14925,633.3,2.4989,0.0178,"positive"
171.15073,630.3,1.3558,0.1848,"positive"
172.07227,390.6,-1.0154,0.3272,"positive"
173.06055,392.64,2.3964,0.0226,"positive"
173.12708,360.06,2.2899,0.0319,"positive"
173.12885,350.22,2.2216,0.0367,"positive"
173.12929,368.52,1.7454,0.0935,"positive"
174.8853,1621.5,2.092,0.0481,"positive"
174.88643,1624.8,-2.4574,0.0276,"positive"
174.88684,1627.44,-2.2084,0.0444,"positive"
174.93567,80.82,-1.0552,0.3034,"positive"
174.9366,77.04,0.1499,0.8821,"positive"
174.94133,72.24,-1.4323,0.1651,"positive"
175.08881,330,-1.6677,0.1176,"positive"
175.117,79.98,0.663,0.5122,"positive"
177.05293,70.44,-1.7465,0.0976,"positive"
177.05406,893.4,2.0147,0.053,"positive"
177.05435,890.46,1.6445,0.1116,"positive"
177.05466,1297.2,0.122,0.9039,"positive"
177.05515,869.46,-0.3772,0.7099,"positive"
177.05569,74.1,-1.7799,0.0908,"positive"
177.10287,329.88,2.0844,0.0516,"positive"
178.13307,393.9,2.5545,0.0163,"positive"
181.07036,357.66,3.5024,0.002,"positive"
181.0715,382.74,2.3877,0.0237,"positive"
181.07217,384.84,0.5896,0.5618,"positive"
185.12732,375.42,-1.1508,0.2686,"positive"
185.12875,364.5,-1.254,0.2299,"positive"
185.13052,366.66,-1.2763,0.2221,"positive"
187.0687,1375.2,4.0538,5e-04,"positive"
187.07254,1638.06,3.5824,0.0015,"positive"
187.07329,1617.48,6.0055,0,"positive"
187.07697,1366.2,5.3148,0,"positive"
188.06805,349.86,-1.0762,0.3,"positive"
188.06889,379.02,2.197,0.0365,"positive"
188.06984,376.32,1.0757,0.291,"positive"
188.07133,417.66,2.2625,0.0321,"positive"
189.05197,331.02,1.1067,0.277,"positive"
189.05316,327.9,1.3356,0.192,"positive"
189.1568,75.9,-2.3968,0.0299,"positive"
189.16035,78.72,-2.625,0.0183,"positive"
190.02614,377.58,-0.6627,0.5126,"positive"
190.06488,329.88,-0.9889,0.3395,"positive"
191.07205,75.12,-2.6038,0.0185,"positive"
191.07657,72.84,-2.6308,0.0182,"positive"
191.08386,326.58,1.3612,0.1832,"positive"
192.13576,356.76,1.9393,0.0621,"positive"
192.13589,354.96,1.3445,0.1891,"positive"
192.138,349.2,0.3601,0.7219,"positive"
194.11276,1623.54,2.2361,0.0329,"positive"
194.11635,329.16,1.3494,0.187,"positive"
194.11707,332.64,0.7558,0.457,"positive"
194.11893,1620.84,3.1322,0.0043,"positive"
194.98216,385.62,-0.4431,0.6625,"positive"
195.08777,431.76,1.6037,0.1188,"positive"
195.08778,429.12,2.3017,0.0303,"positive"
195.11331,379.32,2.5072,0.0189,"positive"
195.11482,376.74,2.5026,0.0202,"positive"
195.12256,347.82,-1.0423,0.3089,"positive"
195.12283,350.94,1.0055,0.3228,"positive"
196.87114,1622.1,0.7412,0.4677,"positive"
197.07933,1049.58,3.3704,0.0022,"positive"
197.08102,1052.52,3.9006,7e-04,"positive"
198.05771,619.68,-1.5643,0.1401,"positive"
198.12689,526.02,-0.9336,0.3608,"positive"
198.12749,529.74,5.2147,0,"positive"
198.12894,532.02,4.9341,1e-04,"positive"
199.16628,1237.62,1.0736,0.2916,"positive"
199.16658,1364.46,1.1018,0.2797,"positive"
199.16928,1370.7,0.1024,0.9194,"positive"
199.17226,1235.46,0.2879,0.7758,"positive"
200.0396,78.48,-0.2204,0.8276,"positive"
200.08205,329.16,-1.041,0.3155,"positive"
201.08614,579.9,-1.4126,0.1764,"positive"
201.08699,582.6,1.0677,0.2951,"positive"
203.05038,74.58,-2.2006,0.0412,"positive"
203.05157,77.82,-1.9973,0.06,"positive"
204.0381,336.66,-0.9834,0.3379,"positive"
204.04338,339.66,-0.7192,0.4798,"positive"
205.08493,1153.2,1.9479,0.0605,"positive"
205.08514,1294.44,1.9755,0.0571,"positive"
205.08699,1184.04,0.3389,0.7379,"positive"
205.08908,1196.46,0.9404,0.3547,"positive"
205.09773,376.74,2.1706,0.0376,"positive"
205.09862,378.48,1.9635,0.0596,"positive"
206.88493,1645.62,-3.3269,0.005,"positive"
206.88498,1662.18,-2.2241,0.0425,"positive"
206.8857,1636.2,5.3986,0,"positive"
206.88603,1650.24,-2.853,0.0127,"positive"
206.88608,1632.48,7.2987,0,"positive"
206.88741,1640.82,-2.4906,0.0232,"positive"
206.97981,490.62,-1.03,0.3161,"positive"
207.06352,328.5,-0.9956,0.3363,"positive"
207.11543,392.22,2.3418,0.0262,"positive"
207.11559,390,1.2565,0.2181,"positive"
207.15881,556.5,-0.6093,0.5519,"positive"
207.15991,561,1.8162,0.0827,"positive"
207.173,1360.68,2.3201,0.027,"positive"
207.17569,1355.64,1.4367,0.1628,"positive"
208.88115,1649.76,-2.9354,0.0103,"positive"
208.88203,1640.1,-0.9487,0.3534,"positive"
208.88293,1646.34,-2.2961,0.0362,"positive"
208.88387,1634.7,5.4292,0,"positive"
208.88405,1631.7,7.0382,0,"positive"
209.09189,338.04,-0.7363,0.4685,"positive"
210.97636,73.92,0.1557,0.8773,"positive"
210.98111,77.22,-0.0202,0.984,"positive"
211.08527,360.72,2.4947,0.022,"positive"
212.84053,1634.4,-1.9674,0.0693,"positive"
212.84261,1625.16,-1.7818,0.0893,"positive"
212.84337,1628.82,-2.4372,0.0286,"positive"
212.84369,1621.74,4.7385,1e-04,"positive"
214.08992,405.06,-1.4761,0.162,"positive"
214.83743,1633.56,-2.3089,0.0365,"positive"
214.8378,1621.86,3.1967,0.0039,"positive"
214.84158,1625.64,-3.3939,0.0042,"positive"
216.9216,75.9,-0.838,0.4149,"positive"
216.92606,72.66,-0.9529,0.3479,"positive"
218.12808,355.98,2.332,0.0311,"positive"
218.21069,591.78,3.9724,5e-04,"positive"
218.21095,594.24,6.2374,0,"positive"
218.21204,587.34,-7.1002,0,"positive"
218.9169,72.54,-1.3448,0.1911,"positive"
219.02908,79.08,-2.7599,0.0149,"positive"
221.02278,81.06,-0.759,0.4544,"positive"
221.11581,1050.72,3.287,0.0025,"positive"
221.12032,1053.3,4.1452,5e-04,"positive"
222.11096,329.34,1.7101,0.0969,"positive"
223.08434,365.4,-0.9112,0.3771,"positive"
223.08463,367.74,-1.0589,0.307,"positive"
223.09911,764.46,2.3891,0.0248,"positive"
223.10077,761.58,3.0039,0.0063,"positive"
224.06221,588.36,-1.7943,0.0944,"positive"
224.1239,925.32,1.5144,0.1405,"positive"
224.12491,643.8,1.6648,0.1058,"positive"
224.12511,592.74,0.9466,0.3511,"positive"
224.12547,1662.18,-0.276,0.7845,"positive"
224.12552,983.94,0.0475,0.9624,"positive"
224.1256,610.02,-0.113,0.9108,"positive"
224.1256,59.4,-1.008,0.324,"positive"
224.12578,429.9,0.5435,0.5915,"positive"
224.12621,389.88,2.7249,0.0104,"positive"
224.12643,328.26,1.6,0.1195,"positive"
224.12686,369.9,1.5379,0.1339,"positive"
224.12697,405.78,2.3318,0.0263,"positive"
224.12703,62.88,-1.4071,0.1706,"positive"
224.12727,332.64,0.9775,0.3384,"positive"
224.12756,1650.48,-0.3886,0.7007,"positive"
224.12756,968.76,0.0543,0.9571,"positive"
224.12788,348.48,1.6701,0.1047,"positive"
224.12791,1628.82,1.9006,0.0668,"positive"
224.12808,1624.56,1.9695,0.0579,"positive"
224.12808,1632.78,-1.1126,0.2755,"positive"
224.1282,634.14,1.8149,0.0791,"positive"
224.12907,939.12,1.1431,0.2622,"positive"
224.12927,955.68,-0.0186,0.9853,"positive"
224.12933,931.5,0.2844,0.7782,"positive"
224.1295,1637.04,0.5028,0.6192,"positive"
224.12962,651.42,2.4192,0.0215,"positive"
224.12962,1028.82,1.7173,0.0968,"positive"
224.12997,376.8,1.1988,0.2399,"positive"
224.13051,366.78,0.5982,0.5544,"positive"
224.13058,495.48,2.7129,0.0107,"positive"
224.13174,1037.1,0.9267,0.3629,"positive"
224.13194,997.74,0.139,0.8907,"positive"
225.18362,1354.62,1.5541,0.1348,"positive"
225.18594,1381.44,2.9175,0.0075,"positive"
225.18626,1376.88,1.1546,0.2579,"positive"
225.18643,1384.5,0.9215,0.3648,"positive"
225.19624,848.04,0.9548,0.3481,"positive"
225.19629,850.92,1.0249,0.314,"positive"
226.07693,556.86,-1.1864,0.2552,"positive"
226.23549,76.32,-0.875,0.3899,"positive"
226.95068,76.86,-0.853,0.402,"positive"
226.9511,73.44,-1.8244,0.0815,"positive"
226.9511,69.06,-2.3922,0.0228,"positive"
228.1955,824.88,1.8468,0.0743,"positive"
228.19662,821.16,3.4233,0.0017,"positive"
228.19843,1355.4,1.7518,0.0934,"positive"
229.15388,325.38,-1.4197,0.1758,"positive"
232.02757,399.54,1.4181,0.1732,"positive"
232.10895,331.92,-1.0827,0.2972,"positive"
232.15375,366.18,-0.4091,0.6867,"positive"
232.15443,363.42,-1.8452,0.0825,"positive"
232.8967,79.68,0.0802,0.9366,"positive"
232.89699,70.92,-0.6818,0.5007,"positive"
233.00545,80.28,-2.1821,0.0439,"positive"
233.07646,347.46,0.0494,0.9609,"positive"
233.07857,351.42,1.0207,0.3155,"positive"
234.88979,78.06,1.1359,0.2645,"positive"
234.89543,70.98,-0.906,0.3729,"positive"
235.16937,1091.04,4.4209,1e-04,"positive"
235.16956,1087.44,1.9949,0.0552,"positive"
235.17189,1093.92,3.3576,0.0025,"positive"
235.19762,21.48,0.2093,0.8356,"positive"
235.20454,60.12,-1.4014,0.1807,"positive"
236.11533,592.74,-0.9251,0.3704,"positive"
237.10849,998.04,1.2295,0.2302,"positive"
237.11356,994.32,-0.1941,0.8479,"positive"
239.09302,539.7,2.3029,0.028,"positive"
239.09412,536.7,2.319,0.027,"positive"
239.15138,375.18,-0.4618,0.6488,"positive"
239.15222,378.72,2.228,0.0335,"positive"
239.15997,74.4,-0.5604,0.5798,"positive"
239.16148,77.52,0.3876,0.7013,"positive"
239.23737,1306.62,2.3772,0.0244,"positive"
239.23915,1309.86,3.0022,0.0064,"positive"
239.23967,1302.9,0.6402,0.527,"positive"
241.99657,345.42,-1.2325,0.2362,"positive"
241.99872,339.18,0.0882,0.9304,"positive"
242.00598,337.32,0.1648,0.8704,"positive"
242.92572,69.06,-1.0188,0.3165,"positive"
242.92616,76.38,0.094,0.9258,"positive"
242.92676,72.9,-0.5842,0.5634,"positive"
243.04845,331.26,-1.4503,0.169,"positive"
243.05228,379.14,2.6515,0.0124,"positive"
243.05231,335.94,-1.5523,0.1429,"positive"
243.05469,376.14,1.3037,0.2018,"positive"
243.99332,339,0.6632,0.5128,"positive"
243.99446,337.14,0.8192,0.4199,"positive"
243.9975,342.96,-1.0072,0.3252,"positive"
244.92256,73.56,-1.2735,0.2171,"positive"
244.92442,76.5,-0.0127,0.9899,"positive"
245.07083,333.3,-1.1691,0.2619,"positive"
245.07881,74.88,-0.5342,0.5985,"positive"
245.11374,559.02,0.0456,0.9641,"positive"
245.11739,562.02,1.2076,0.2362,"positive"
246.12296,414.06,2.15,0.0431,"positive"
246.12326,417.96,2.1389,0.0439,"positive"
246.16756,421.56,-0.0281,0.9777,"positive"
246.16803,430.62,-0.1036,0.9185,"positive"
246.17073,428.1,-1.2777,0.216,"positive"
247.05338,346.62,-0.531,0.6014,"positive"
247.05573,349.2,-1.0451,0.3103,"positive"
247.1409,413.58,1.4096,0.1731,"positive"
247.14203,416.88,2.4547,0.0212,"positive"
247.14301,424.38,1.5066,0.1418,"positive"
247.2267,1101.78,2.1612,0.0383,"positive"
247.23099,1098.66,0.9938,0.3295,"positive"
248.87057,69.84,-0.3832,0.7042,"positive"
249.18678,1096.86,4.4691,1e-04,"positive"
249.18808,1093.8,3.7773,7e-04,"positive"
251.12897,894,1.1072,0.2769,"positive"
251.20065,1373.7,0.951,0.349,"positive"
253.1422,1051.74,4.2604,2e-04,"positive"
253.14671,1048.38,1.9984,0.0542,"positive"
254.05998,587.94,-1.0002,0.3342,"positive"
255.97485,77.88,1.4387,0.1654,"positive"
255.97716,76.32,1.3912,0.1792,"positive"
257.04227,594.12,-0.8625,0.4027,"positive"
258.10968,78.66,2.1827,0.0401,"positive"
258.89832,77.88,-0.5813,0.5671,"positive"
258.89899,71.1,1.0604,0.297,"positive"
259.15091,1150.32,3.2119,0.0035,"positive"
259.15872,1154.04,3.7708,0.0012,"positive"
260.18494,516.3,-0.7515,0.4614,"positive"
260.18726,513,-1.7577,0.0973,"positive"
260.75681,1028.82,0.4431,0.6628,"positive"
260.758,925.98,1.2327,0.2269,"positive"
260.75848,880.26,0.5724,0.572,"positive"
260.75958,589.98,-0.7716,0.4485,"positive"
260.75964,345.06,2.4483,0.0201,"positive"
260.76141,984.66,0.6784,0.5024,"positive"
260.76257,867.18,0.7957,0.4325,"positive"
260.7627,940.5,0.7685,0.4487,"positive"
260.76273,62.16,0.7092,0.4834,"positive"
260.76273,974.28,1.0651,0.295,"positive"
260.76437,1618.86,1.2662,0.2198,"positive"
261.05118,890.04,0.9016,0.3759,"positive"
261.0556,893.82,3.0614,0.0047,"positive"
262.08365,1639.44,0.9676,0.3425,"positive"
262.08542,1623.36,3.8316,0.001,"positive"
262.08578,1633.92,0.4011,0.6916,"positive"
262.23508,601.14,-5.3068,1e-04,"positive"
262.23697,605.94,4.2039,3e-04,"positive"
262.23782,599.4,-5.3394,1e-04,"positive"
262.23904,608.1,4.5143,1e-04,"positive"
262.74963,6.3,-0.1512,0.8808,"positive"
262.75195,1030.86,0.2187,0.8287,"positive"
262.75443,1618.86,0.4935,0.6275,"positive"
262.75446,1050.9,2.4245,0.0235,"positive"
262.75522,994.98,0.4607,0.6483,"positive"
262.75522,874.02,1.5447,0.1323,"positive"
262.75525,938.4,0.8607,0.3964,"positive"
262.75534,654.84,1.5608,0.1287,"positive"
262.75684,926.7,1.2069,0.2373,"positive"
262.75684,999.12,0.3055,0.7624,"positive"
262.7569,930.12,2.257,0.0311,"positive"
262.75735,429.6,1.1163,0.2736,"positive"
262.75739,958.08,0.9005,0.3761,"positive"
262.75775,1662.9,5.8026,0,"positive"
262.75787,868.02,2.5246,0.0173,"positive"
262.75839,59.64,-0.2848,0.7783,"positive"
262.75845,894.96,1.4453,0.1585,"positive"
262.75912,977.76,0.4856,0.6308,"positive"
262.75937,593.46,1.538,0.1339,"positive"
262.7608,1027.44,0.6755,0.5067,"positive"
262.7612,588.6,-0.6021,0.5517,"positive"
262.76245,881.7,1.4515,0.1579,"positive"
263.23981,1370.7,1.3166,0.1992,"positive"
264.20114,529.26,1.0591,0.3035,"positive"
264.84259,68.88,-0.4002,0.6917,"positive"
265.13693,1025.64,3.1778,0.0037,"positive"
265.1459,1028.64,2.5751,0.0155,"positive"
265.15054,1031.58,1.6835,0.1037,"positive"
266.14905,824.4,1.9171,0.0643,"positive"
266.14923,821.22,5.7266,0,"positive"
267.12381,965.22,2.7388,0.0107,"positive"
267.12491,869.94,0.3203,0.7513,"positive"
267.1257,879.3,1.4634,0.1547,"positive"
267.12692,872.76,1.4006,0.172,"positive"
267.1272,874.92,0.6733,0.5085,"positive"
267.12872,961.26,0.4033,0.6896,"positive"
268.10397,327.54,-0.5025,0.6192,"positive"
269.9921,78.6,-0.1625,0.8721,"positive"
270.78577,1619.28,1.4297,0.1662,"positive"
272.78415,1662.18,1.7481,0.0903,"positive"
272.78625,1619.22,2.7548,0.0108,"positive"
272.78815,1669.08,-1.4743,0.1552,"positive"
272.94931,73.86,-1.6625,0.1086,"positive"
274.27328,839.76,6.5405,0,"positive"
274.27438,830.82,7.0955,0,"positive"
274.27512,825.36,-2.9796,0.0098,"positive"
274.27881,833.88,4.5824,2e-04,"positive"
275.25433,1235.34,1.0429,0.3061,"positive"
277.10358,375.54,0.3946,0.6963,"positive"
277.10895,380.94,0.3473,0.731,"positive"
277.1749,886.32,3.2924,0.0032,"positive"
277.17966,1118.34,3.7052,9e-04,"positive"
277.18176,890.28,2.3098,0.0311,"positive"
277.18256,883.2,1.4621,0.1562,"positive"
277.18439,1121.94,3.2744,0.0033,"positive"
279.06253,765.06,2.4106,0.0228,"positive"
279.06729,762.3,2.1098,0.0436,"positive"
279.1525,1149.54,-0.2159,0.8308,"positive"
279.1528,1252.38,0.5442,0.5901,"positive"
279.15311,1202.7,1.4597,0.1549,"positive"
279.15521,1054.32,3.6245,0.001,"positive"
279.15533,1621.92,2.9718,0.0057,"positive"
279.15536,1184.76,0.7866,0.4377,"positive"
279.15564,1342.74,1.5764,0.1251,"positive"
279.15643,1023.96,1.3134,0.2023,"positive"
279.15775,1372.44,2.6791,0.0116,"positive"
279.15781,1362.78,2.7176,0.0106,"positive"
279.15793,1291.68,3.4299,0.0017,"positive"
279.15894,963.24,0.9449,0.3539,"positive"
279.15915,1124.04,1.0325,0.3103,"positive"
279.1593,1228.92,0.6236,0.5384,"positive"
279.15933,1176.48,2.1658,0.0383,"positive"
279.15939,1191.3,2.2675,0.0317,"positive"
279.15945,1313.76,0.2583,0.7979,"positive"
279.1597,1295.82,1.1539,0.2575,"positive"
279.15994,1260.3,0.8173,0.4199,"positive"
279.16006,972.9,1.657,0.1073,"positive"
279.16006,1057.8,4.2169,2e-04,"positive"
279.16013,1034.34,2.5959,0.0154,"positive"
279.16025,1014.3,1.1498,0.2588,"positive"
279.16028,881.16,1.0201,0.316,"positive"
279.16031,867.72,1.2953,0.2048,"positive"
279.16089,586.56,-0.534,0.5978,"positive"
279.1615,1208.88,2.8226,0.0085,"positive"
279.16174,927.84,1.9923,0.055,"positive"
279.16183,1153.26,2.7439,0.0099,"positive"
279.16229,1337.94,0.089,0.9298,"positive"
279.16235,1050.9,0.4221,0.6772,"positive"
279.16254,1214.4,1.4381,0.161,"positive"
279.16281,1299.3,1.1536,0.26,"positive"
279.16553,1040.52,1.2696,0.2166,"positive"
279.22992,1383.48,1.8081,0.08,"positive"
279.23138,1375.2,2.0449,0.0497,"positive"
279.23334,1364.16,2.2388,0.033,"positive"
280.08929,76.74,-1.5524,0.1394,"positive"
280.09229,80.34,2.5239,0.0193,"positive"
280.8179,1657.62,-0.9113,0.3743,"positive"
280.819,1620.42,-0.5398,0.5945,"positive"
280.81937,1624.32,4.1511,3e-04,"positive"
280.81943,1651.26,8.6018,0,"positive"
280.82095,1661.22,-3.4065,0.0038,"positive"
280.82135,1665.24,-2.2909,0.0371,"positive"
280.82147,1653.24,8.0195,0,"positive"
281.00662,376.38,1.426,0.1641,"positive"
281.01038,379.02,3.2546,0.0027,"positive"
281.09854,879.78,1.16,0.2567,"positive"
281.10272,875.64,1.9235,0.0634,"positive"
281.10287,871.98,1.5816,0.1236,"positive"
281.10547,869.4,0.3242,0.7479,"positive"
281.13141,956.82,2.9276,0.0073,"positive"
281.13776,972.9,4.0178,6e-04,"positive"
281.13791,942.54,1.5422,0.1345,"positive"
281.13831,954,3.0117,0.0064,"positive"
281.14203,946.68,0.1755,0.8619,"positive"
281.14267,949.44,0.9008,0.3751,"positive"
281.2431,1306.86,0.1169,0.9078,"positive"
281.24701,1372.68,0.8024,0.4288,"positive"
281.24734,1356.48,1.3218,0.1979,"positive"
281.2475,1363.62,1.1563,0.2562,"positive"
281.24927,1369.74,1.5076,0.1429,"positive"
281.25021,1351.92,1.2897,0.2067,"positive"
282.27347,1318.92,1.5444,0.1358,"positive"
282.27676,1304.22,1.3313,0.1935,"positive"
282.27896,1299.78,-0.1381,0.8911,"positive"
282.28125,1313.76,0.7232,0.4762,"positive"
282.28821,1308.42,0.8359,0.4102,"positive"
282.81308,1624.92,4.308,1e-04,"positive"
282.81442,1650.48,6.9827,0,"positive"
282.81595,1657.62,-1.397,0.1818,"positive"
282.81604,1664.82,-2.6216,0.0194,"positive"
282.81708,1660.5,-2.1533,0.0478,"positive"
282.8176,1653.72,4.6392,1e-04,"positive"
283.00607,376.5,0.9904,0.3298,"positive"
283.01233,379.26,3.2546,0.0027,"positive"
283.17404,402.78,0.7482,0.4614,"positive"
283.17801,398.76,0.1502,0.8821,"positive"
283.26434,1369.14,1.6256,0.1139,"positive"
284.32642,1151.64,4.2801,3e-04,"positive"
284.32706,1123.32,-2.6734,0.0176,"positive"
284.32928,1129.98,-2.4654,0.0269,"positive"
284.32947,1190.94,3.9552,6e-04,"positive"
284.32965,1135.08,1.9507,0.0647,"positive"
284.33035,1182.48,3.105,0.0042,"positive"
284.33267,1213.74,3.3769,0.0027,"positive"
284.90714,77.46,1.0462,0.3036,"positive"
285.09943,416.1,2.512,0.0192,"positive"
285.10355,424.38,2.0263,0.0518,"positive"
285.18024,1102.32,1.7703,0.087,"positive"
285.24445,1199.22,1.7186,0.0972,"positive"
285.24844,1196.46,0.5971,0.5552,"positive"
285.24905,1194.36,0.7168,0.4802,"positive"
285.99033,77.34,-0.5337,0.5988,"positive"
286.14716,911.22,2.3058,0.0322,"positive"
286.20139,588.06,0.9845,0.3323,"positive"
286.20193,583.92,-2.3656,0.033,"positive"
286.20236,590.94,1.0115,0.32,"positive"
286.77667,1621.98,0.5992,0.5559,"positive"
287.01642,332.64,-1.0021,0.3333,"positive"
287.14288,346.44,-1.0002,0.3342,"positive"
287.22012,1234.2,0.0931,0.9265,"positive"
287.22379,1236.12,0.3267,0.7462,"positive"
288.19391,1003.74,1.2301,0.229,"positive"
288.19482,1006.08,1.6215,0.1164,"positive"
288.21704,653.52,0.379,0.709,"positive"
288.21811,655.86,3.5339,0.0017,"positive"
288.21832,649.26,-2.0845,0.0558,"positive"
288.25314,956.94,1.0268,0.318,"positive"
288.25351,953.46,1.0215,0.3204,"positive"
288.76758,1623.9,0.0098,0.9922,"positive"
288.77359,1621.68,0.809,0.4287,"positive"
288.91989,73.68,-0.3549,0.7252,"positive"
290.15958,347.1,-0.2394,0.8132,"positive"
290.8461,1636.02,5.9933,0,"positive"
290.84659,1632.72,9.2171,0,"positive"
290.8479,1649.58,-2.7313,0.0162,"positive"
290.84824,1643.94,-4.2916,7e-04,"positive"
290.84827,1662.18,-2.5051,0.0252,"positive"
290.84882,1640.1,-1.2083,0.2397,"positive"
291.08234,378.36,-0.8362,0.4137,"positive"
291.08334,375.42,-0.9793,0.3419,"positive"
291.11768,414.18,1.4167,0.1663,"positive"
291.12155,412.38,1.0778,0.2892,"positive"
291.19577,1052.46,4.8158,0,"positive"
291.19623,1048.92,3.06,0.0046,"positive"
291.25198,1104.12,2.2665,0.0306,"positive"
291.25531,1100.34,-0.3786,0.7094,"positive"
292.84503,1635.84,7.3954,0,"positive"
292.84576,1645.8,-3.8537,0.0017,"positive"
292.84637,1640.82,-2.0411,0.0549,"positive"
292.84686,1649.76,-2.5364,0.0237,"positive"
292.84909,1632.6,6.8932,0,"positive"
293.02112,80.88,-1.9952,0.0623,"positive"
294.9389,76.92,-1.2504,0.2235,"positive"
294.94177,74.76,-0.0657,0.9481,"positive"
295.1156,955.44,2.6245,0.0148,"positive"
295.11615,946.14,1.2115,0.2346,"positive"
295.11743,952.14,2.6318,0.0138,"positive"
295.11917,948.72,1.9075,0.0657,"positive"
296.06586,80.52,2.5239,0.0186,"positive"
296.06866,599.64,-1.0005,0.334,"positive"
296.06967,77.34,0.2212,0.8264,"positive"
296.21695,425.34,-1.5056,0.1544,"positive"
296.80087,1627.02,2.4596,0.0223,"positive"
296.80334,1629.84,-0.6655,0.513,"positive"
296.8056,1633.56,-2.6644,0.0183,"positive"
298.06955,601.74,-1.1009,0.2895,"positive"
298.15924,585.18,-1.0033,0.3327,"positive"
298.34106,1219.26,2.8061,0.009,"positive"
298.34464,1149.54,-1.1072,0.2847,"positive"
298.34485,1125.84,2.7751,0.0104,"positive"
298.34503,1186.44,2.8352,0.0081,"positive"
298.34564,1179.24,3.5158,0.0016,"positive"
298.34586,1190.58,4.7968,1e-04,"positive"
298.34695,1153.2,-1.1405,0.2718,"positive"
298.34842,1201.32,3.3551,0.0022,"positive"
298.3486,1182.66,3.9545,7e-04,"positive"
298.3486,1073.46,4.0429,5e-04,"positive"
298.35068,1077,5.545,0,"positive"
299.14709,557.58,2.1317,0.043,"positive"
299.1521,561.54,4.0626,6e-04,"positive"
299.25357,1190.28,0.6953,0.494,"positive"
299.25391,1365.54,1.5068,0.1438,"positive"
299.25635,1211.64,1.8155,0.0811,"positive"
299.25772,1373.16,2.3528,0.0255,"positive"
299.25818,1369.86,1.7152,0.0996,"positive"
299.25864,1203.12,2.3643,0.0244,"positive"
299.25867,1354.2,1.0159,0.3188,"positive"
299.25903,1357.14,1.1186,0.2717,"positive"
299.25916,1193.04,0.8729,0.3903,"positive"
300.20612,398.76,1.0814,0.29,"positive"
300.20963,401.64,2.2336,0.0329,"positive"
300.29306,980.7,2.0887,0.0511,"positive"
301.11469,622.74,0.1976,0.845,"positive"
301.11517,606.06,0.0413,0.9673,"positive"
301.13947,72.54,-0.3025,0.7643,"positive"
301.14227,75.84,0.0671,0.9469,"positive"
302.19547,367.8,1.7394,0.0917,"positive"
302.19662,362.22,0.0689,0.9455,"positive"
302.1973,364.86,1.268,0.2145,"positive"
302.30658,934.14,-3.4677,0.0037,"positive"
302.30673,942.36,4.9598,1e-04,"positive"
302.30728,950.16,3.9032,7e-04,"positive"
302.31177,939.6,2.447,0.0201,"positive"
303.25229,1197.18,2.9196,0.0064,"positive"
303.25378,1194.06,0.0383,0.9697,"positive"
303.25931,1200.36,2.1054,0.0439,"positive"
303.32141,934.26,-3.29,0.0053,"positive"
304.24503,1235.1,-0.0631,0.9501,"positive"
304.29819,1021.92,3.6439,0.0015,"positive"
304.29868,1015.56,5.6987,0,"positive"
304.29968,1013.28,7.5964,0,"positive"
304.30002,1025.34,4.3885,1e-04,"positive"
304.30026,1007.28,-2.9024,0.0116,"positive"
304.30051,1004.82,-3.0389,0.0088,"positive"
304.30258,1029.18,4.3224,2e-04,"positive"
304.31528,1008.12,-2.8154,0.0137,"positive"
305.12738,1262.7,-0.6614,0.517,"positive"
305.13052,1259.94,-0.6162,0.5455,"positive"
306.26361,616.44,2.5398,0.0162,"positive"
307.04584,332.64,-0.3366,0.7397,"positive"
307.04968,329.16,-0.8866,0.3858,"positive"
307.09247,608.82,1.3888,0.1762,"positive"
307.09369,604.32,0.4606,0.6486,"positive"
307.09775,893.64,1.753,0.0892,"positive"
307.24738,934.38,1.5856,0.1228,"positive"
308.27826,1100.64,1.6857,0.1031,"positive"
308.28061,1104.24,2.726,0.0104,"positive"
310.19971,650.64,2.8469,0.0078,"positive"
310.20001,628.62,2.7113,0.0132,"positive"
310.20062,626.34,2.5123,0.0197,"positive"
310.20163,652.92,3.5009,0.0015,"positive"
310.20346,645.48,-2.5489,0.0232,"positive"
