"mz","rt","t.score","p.value","mode"
112.89268,1211.28,0.0772,0.939,"positive"
112.89291,611.4,-0.6526,0.5189,"positive"
112.89297,382.98,1.5002,0.1449,"positive"
112.89301,1184.4,1.4826,0.1481,"positive"
112.89327,1179.66,1.0503,0.3026,"positive"
112.89339,916.68,-1.076,0.2946,"positive"
112.89358,870.12,0.7466,0.4617,"positive"
112.89365,1005.12,0.5036,0.618,"positive"
112.89377,606.54,-0.0227,0.982,"positive"
112.89378,420.24,1.7402,0.0919,"positive"
112.89381,741.12,2.1894,0.0364,"positive"
112.89384,634.14,2.0229,0.0515,"positive"
112.8939,979.14,0.5635,0.5774,"positive"
112.89396,894.6,0.8309,0.4126,"positive"
112.89397,1051.32,2.408,0.023,"positive"
112.894,952.68,0.2347,0.8164,"positive"
112.89403,495.12,0.6657,0.5107,"positive"
112.89409,517.56,2.4009,0.0224,"positive"
112.89418,1121.64,0.0435,0.9656,"positive"
112.89419,1130.22,1.0216,0.3158,"positive"
112.89421,49.74,-0.8188,0.4218,"positive"
112.89423,429.24,1.6046,0.1189,"positive"
112.89429,65.64,0.6931,0.4935,"positive"
112.89432,930.12,1.6147,0.1164,"positive"
112.89436,1076.1,2.9918,0.0066,"positive"
112.89438,911.04,-0.4081,0.6868,"positive"
112.89439,847.38,2.5225,0.0173,"positive"
112.89442,984.66,-0.6579,0.5173,"positive"
112.89445,1224.06,1.3839,0.1766,"positive"
112.89449,754.92,3.0668,0.0045,"positive"
112.89451,745.26,2.5896,0.0148,"positive"
112.89458,973.62,0.4697,0.6422,"positive"
112.89458,961.2,-0.7235,0.4772,"positive"
112.89466,768,3.4218,0.0018,"positive"
112.89468,697.98,1.5609,0.1285,"positive"
112.89469,59.64,-1.3914,0.1758,"positive"
112.89482,566.88,1.2708,0.2161,"positive"
112.89491,1672.26,-0.1029,0.9192,"positive"
112.895,346.44,0.4253,0.6735,"positive"
112.89505,1093.44,2.4812,0.0201,"positive"
