"m.z"	"p.value"	"t.score"	"r.t"
278.99754	0.016394427	3.17	10.508
231.09769	0.016590459	2.29	11.437
144.06535	0.017400447	-7.5	8.06
526.08727	0.017524394	-2.99	7.032
184.99031	0.018333156	-0.87	14.848
253.09217	0.019542609	0.96	11.325
161.04435	0.019765347	-1.67	7.659
161.04436	0.019871965	-0.96	15.248
117.05442	0.019896112	-1.1	0.241
267.07137	0.019964332	0.75	4.161
346.05497	0.020363716	3.99	7.36
236.98703	0.020883022	2.04	20.266
159.06504	0.021323573	-1.76	7.669
203.05494	0.021929683	-2.41	7.495
145.04937	0.022464886	-1.67	3.953
117.05442	0.022487988	1.91	20.269
227.0664	0.022856782	-2.12	8.047
220.02583	0.02288532	2.29	2.843
215.03175	0.023450581	2.41	10.409
215.03178	0.023612776	-1.38	7.652
135.00457	0.023755193	-1.29	14.818
135.00458	0.023830366	-2.42	7.093
160.06029	0.02402698	-1.02	14.842
214.04753	0.024490108	2.27	19.05
176.95139	0.024578528	-1.36	9.907
145.12213	0.024659682	1.26	29.506
188.9504	0.024678535	-1.23	10.416
302.89364	0.024858652	-1.25	7.821
152.99997	0.025076194	-2.02	8.029
133.04937	0.025079826	2.64	3.961
205.10702	0.025303349	-1.48	14.954
158.08101	0.025655091	-0.59	15.227
273.03736	0.026612581	3.14	7.335
333.05846	0.027682389	-2.24	8.083
333.05855	0.028287171	2.3	13.978
163.06006	0.028330853	2.08	10.419
119.03435	0.028736929	-0.73	7.678
333.0584	0.02951924	-1.32	14.843
333.05852	0.030272795	1.93	1.642
333.05853	0.030401771	-2.22	7.637
395.07625	0.030848769	-1.27	8.022
177.07566	0.030915834	-3.24	6.843
128.0171	0.031024766	-0.86	10.428
128.01711	0.031806468	-1.26	14.848
128.01711	0.03216513	4.06	7.323
275.07411	0.032963966	-1.15	9.899
320.06152	0.033442024	0.99	16.414
693.33529	0.033703364	-2.64	7.949
209.06579	0.033811243	-1.62	14.919
304.9908	0.035249529	-3.04	8.083
290.08746	0.036225315	1.26	3.747
363.15727	0.036301363	-0.82	14.834
188.09171	0.03657065	3.71	13.769
591.36856	0.036787163	2.2	4.429
96.96813	0.036792286	2.03	24.58
96.95892	0.037184039	2.39	7.329
96.96868	0.03766992	-1.24	7.662
176.93458	0.037855534	-1.27	14.829
94.97935	0.038125044	1.92	1.655
212.50675	0.038233428	-0.82	14.769
114.01838	0.038237908	1.59	10.469
292.92257	0.040704967	-1.4	8.081
157.03545	0.041708286	-1.24	8.059
292.92256	0.044099053	3.93	10.607
216.90835	0.046254809	2.36	15.755
176.94816	0.046465442	-1.62	8.059
232.92373	0.047288861	-2.69	11.282
97.02828	0.047401839	-1.29	14.856
89.02303	0.049627142	-0.52	15.25
110.98402	0.051592848	-1.46	14.846
152.01788	0.052139097	0.62	11.173
153.01435	0.05229113	-1.24	14.799
129.01347	0.052796713	-1.92	7.051
127.01786	0.053258066	2.13	1.627
131.03375	0.053339985	-3.63	7.027
109.0073	0.053872928	-1.81	7.098
140.91617	0.054496001	-1.46	7.629
152.01787	0.054823856	-1.62	7.637
153.01433	0.05585637	-4.63	6.835
151.01871	0.05773777	-0.88	15.25
149.02293	0.058538474	-1.06	14.83
105.01586	0.059642727	1.58	11.181
131.01234	0.060105805	1.56	8.253
130.01599	0.060305271	2.11	10.416
109.00729	0.060987702	-2.78	8.038
96.96954	0.061264855	3.94	7.412
129.01347	0.061380987	-0.62	15.213
129.01346	0.061624335	1.52	17.128
148.02653	0.061682505	1.13	1.78
119.03374	0.062413902	-0.5	1.501
193.97792	0.064149252	-2.44	7.317
193.03005	0.064382888	1.85	19.046
194.02925	0.064533815	-1.41	14.845
154.01346	0.066069237	-1.17	12.313
236.91521	0.067826466	-3.56	7.056
173.02062	0.069275684	-1.1	7.613
140.9746	0.070133345	0.66	4.126
142.97163	0.070193698	-0.61	14.82
222.02151	0.070256232	1.78	19.028
165.03925	0.071728244	-2	10.074
91.03886	0.073887738	-1.5	10.083
98.95448	0.075209611	2.43	8.345
172.02426	0.077074948	-1.98	10.083
126.02148	0.077410662	4.16	7.457
221.02229	0.077648217	-1.53	8.143
195.02571	0.077783027	-2.12	7.94
173.00338	0.077996143	1.76	1.609
154.01347	0.078430294	1.35	13.395
197.02144	0.078445412	-3.6	6.818
241.0285	0.078550892	-0.82	10.121
217.03376	0.079229261	2.09	3.756
104.01959	0.079402238	2.59	6.519
154.99277	0.079440963	-0.49	15.267
96.96007	0.080240442	2.57	7.364
127.01785	0.081370015	1.14	16.197
126.00182	0.082386673	-1.46	26.195
173.95632	0.084520509	-1.15	12.419
189.03928	0.085705705	-3.66	6.963
234.91946	0.085950068	-1.02	14.858
192.03357	0.086079683	1.65	9.704
154.99282	0.086939906	1.95	6.52
219.02661	0.087171899	1.58	10.41
111.00287	0.087755352	-0.67	14.835
175.01948	0.08808657	3.98	7.345
133.00804	0.089546102	1.5	17.286
96.96843	0.090629048	-0.79	7.609
119.03374	0.090780429	-2	8.068
216.92745	0.091369239	1.06	7.421
97.00301	0.09167523	-1.08	8.065
193.97794	0.092852082	-8.36	8.058
171.00519	0.09309773	0.76	7.577
204.99287	0.095880784	2.01	19.03
216.92744	0.096719598	2	19.039
164.01053	0.098485818	3.24	6.518
140.91804	0.099999681	1.43	5.108
87.9714	0.100434547	1.91	10.541
163.02366	0.101129413	-1.62	6.968
197.0214	0.101195032	0.89	1.672
96.96846	0.101421466	-0.63	1.496
111.01868	0.101614939	-1.36	10.075
165.07576	0.102989474	-0.95	14.829
100.96835	0.103848273	1.51	16.163
240.03209	0.105155394	0.55	4.172
175.01621	0.105477421	-0.69	15.269
110.00653	0.105484393	-1.15	7.703
154.99498	0.106056838	-0.86	14.849
129.05442	0.112003619	2.38	3.873
330.87855	0.11293631	2.19	19.036
153.99643	0.113608644	-0.31	1.505
203.99654	0.114300731	-1.64	10.564
149.02568	0.114505828	-0.61	15.233
198.02066	0.114744893	-1.71	8.012
133.99046	0.114823588	1.56	19.086
223.01794	0.115261292	2.04	19.032
89.96843	0.115437565	-0.45	15.23
124.99011	0.116168645	2.11	19.03
125.02317	0.11643541	0.82	3.924
199.01843	0.1191742	1.34	3.878
301.98178	0.121429518	1.26	2.813
193.03281	0.122244445	-1.03	14.833
171.00527	0.123716475	-0.99	12.314
175.01619	0.124529294	-1.3	10.08
174.02298	0.125360986	1.54	1.588
107.01166	0.126690581	2.3	7.47
186.96376	0.12714817	-0.89	14.799
134.97186	0.127853676	-1.52	10.077
135.94382	0.128290833	1.27	1.641
118.95033	0.12878891	2.18	2.77
195.92563	0.130145868	1.03	1.624
148.02654	0.13100034	1.13	10.63
154.91747	0.132418939	-0.74	10.097
175.01612	0.132427245	-0.95	14.844
132.0402	0.134409419	2.74	3.09
186.98476	0.134643972	-1.44	7.952
96.98336	0.135848911	-1.34	4.836
119.07019	0.136580781	-1.3	4.898
114.02963	0.13711435	-1.5	7.017
91.02729	0.138299055	-0.83	14.842
149.04432	0.138483382	2.58	7.363
136.96088	0.14012294	1.02	7.493
330.87856	0.140455225	2.5	10.545
166.97845	0.143380157	1.32	1.665
173.02067	0.145699513	1.2	4.278
198.9168	0.146437455	2	1.927
208.9458	0.149323703	2.5	1.848
512.82244	0.149331272	0.95	16.16
146.96468	0.149844854	-0.5	1.745
125.00939	0.150625121	1.48	5.545
149.04175	0.151195264	1.48	6.509
105.01805	0.152878807	-2.24	8.07
123.94803	0.153085445	-0.57	14.783
153.99646	0.153254083	2.22	6.517
194.93666	0.155635412	1.75	1.767
134.00729	0.156194006	1.94	1.631
510.85871	0.15647516	1.36	14.357
116.96129	0.157614099	1.97	4.097
154.94612	0.158117515	-1.1	7.082
203.99653	0.159035778	-0.43	1.494
154.91749	0.159173953	-0.43	15.071
210.98554	0.16152382	0.77	7.58
240.84176	0.165248189	2.08	1.634
316.11594	0.165579565	1.37	19.04
368.12393	0.16667786	-1.09	8.087
208.96101	0.166802865	-0.65	1.498
194.9366	0.167437212	-4.66	7.925
162.89832	0.168037091	-1.16	8.114
134.98937	0.170172777	-0.69	10.074
183.10151	0.171506943	0.92	6.127
144.02895	0.17311629	-0.55	15.282
203.99654	0.173267628	-1.16	7.919
450.83752	0.17347119	-1.09	7.189
127.01788	0.17379697	-0.49	1.71
