Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],10.097,0.000683533230017019,EC0001
